,id,relationships,number of characters,betweenness centrality,eccentricity,closeness centrality,degree
count,78.0,78.0,78.0,78.0,78.0,78.0,78.0
mean,431.96153846153845,106.21794871794872,33.294871794871796,0.0371581337262434,3.0017650879163384,0.5215841157974161,6.100113174421504
std,259.997724381035,64.5841135698844,13.629712552693993,0.014688480747907828,0.6078438071119444,0.07051018086294875,1.938520008778913
min,11.0,16.0,9.0,0.01530054644808743,1.8888888888888888,0.3662624426712709,3.0
25%,210.0,62.75,24.0,0.027991531318144216,2.6017857142857146,0.47518576147139086,4.73063877897117
50%,402.5,93.5,32.5,0.03524346497492277,2.891812865497076,0.5283513519980632,5.5351882160392805
75%,647.75,126.25,40.75,0.041879085695131296,3.264784946236559,0.5656020353036376,7.083333333333333
max,908.0,331.0,74.0,0.07936507936507936,5.254901960784314,0.7665544332210998,12.117647058823529
