,id,relationships,number of characters,betweenness centrality,eccentricity,closeness centrality,degree
count,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mean,797.0,60.0,30.0,0.04605911330049261,3.6666666666666665,0.4546723379560878,4.0
std,,,,,,,
min,797.0,60.0,30.0,0.04605911330049261,3.6666666666666665,0.4546723379560878,4.0
25%,797.0,60.0,30.0,0.04605911330049261,3.6666666666666665,0.4546723379560878,4.0
50%,797.0,60.0,30.0,0.04605911330049261,3.6666666666666665,0.4546723379560878,4.0
75%,797.0,60.0,30.0,0.04605911330049261,3.6666666666666665,0.4546723379560878,4.0
max,797.0,60.0,30.0,0.04605911330049261,3.6666666666666665,0.4546723379560878,4.0
