,id,relationships,number of characters,betweenness centrality,eccentricity,closeness centrality,degree
count,90.0,90.0,90.0,90.0,90.0,90.0,90.0
mean,457.1,116.87777777777778,38.3,0.03441658648792335,3.16516522023522,0.5068609773622794,5.969456128293817
std,274.7263009786981,71.36782830067449,17.623688093655996,0.015567719869861931,0.76600184765949,0.085399918608336,2.3046731559391143
min,10.0,10.0,5.0,0.0,1.0,0.3477101829181571,2.7142857142857144
25%,192.0,67.5,24.25,0.023132931142084458,2.718146718146718,0.45700976469175636,4.4
50%,463.5,100.0,35.5,0.032069988648936024,3.1063231850117097,0.4953084492124592,5.272604588394062
75%,706.75,151.0,46.75,0.04139572518848103,3.5333914053426247,0.5445085055537103,7.120383036935705
max,905.0,339.0,109.0,0.0984848484848485,5.818181818181818,1.0,13.352941176470589
