,id,relationships,number of characters,betweenness centrality,eccentricity,closeness centrality,degree
count,19.0,19.0,19.0,19.0,19.0,19.0,19.0
mean,434.1578947368421,95.26315789473684,32.31578947368421,0.03573836905369809,2.9930805661811557,0.5185426894397737,5.912968227461266
std,249.49443617886658,35.64460704925651,11.095808175357371,0.00899159293726003,0.5269354993736772,0.06032199534308979,1.5299097603373832
min,44.0,35.0,15.0,0.024696545284780578,1.9523809523809523,0.41944674103502677,4.421052631578948
25%,295.0,73.5,25.0,0.029719384582585676,2.7222222222222223,0.482258760039148,5.103942652329749
50%,398.0,98.0,31.0,0.033155080213903745,2.891891891891892,0.5075475555012366,5.568627450980392
75%,583.5,122.0,37.0,0.040038665038665044,3.229591836734694,0.5561287196392297,6.081081081081081
max,895.0,150.0,52.0,0.05567765567765568,4.176470588235294,0.6440401764049007,11.538461538461538
