,id,relationships,number of characters,betweenness centrality,eccentricity,closeness centrality,degree
count,223.0,223.0,223.0,223.0,223.0,223.0,223.0
mean,442.68161434977577,115.4439461883408,36.426008968609864,0.03328873228448078,2.9644134800066326,0.5184065347380025,6.142414596619752
std,273.76708383583434,64.27912980510544,14.565869205496487,0.012504112869014814,0.6902311857249944,0.06292987483394068,1.8707860536494492
min,6.0,16.0,8.0,0.01380130630492069,1.875,0.3406468501928651,2.782608695652174
25%,199.5,68.5,26.0,0.024439648279574493,2.583380601247873,0.47508677635120666,4.794736842105263
50%,436.0,105.0,34.0,0.030955999421045013,2.892857142857143,0.5178680555075421,5.909090909090909
75%,700.5,150.0,44.0,0.039295555667913845,3.218451749734889,0.5570859143482583,7.091269841269841
max,914.0,378.0,95.0,0.09107142857142858,6.925925925925926,0.7263670357420358,13.428571428571429
