,id,relationships,number of characters,betweenness centrality,eccentricity,closeness centrality,degree
count,252.0,252.0,252.0,252.0,252.0,252.0,252.0
mean,460.0436507936508,106.57142857142857,35.42460317460318,0.03573635799330109,3.014939472795498,0.515469497793243,5.763606216038295
std,257.2131250782413,72.49018931521034,14.777711150711204,0.01555269290085819,0.6838718372290702,0.07635445563589502,2.036289426868809
min,1.0,10.0,5.0,0.0,1.0,0.2656270318809242,2.2222222222222223
25%,241.75,61.75,25.0,0.025178326304601227,2.6045454545454545,0.4706912904896912,4.48735632183908
50%,469.5,91.0,34.0,0.03280099581545633,2.984375,0.5096342481992968,5.310989010989011
75%,668.75,137.25,44.0,0.043119542674603856,3.2949125596184423,0.5542831713630854,6.469047619047618
max,911.0,591.0,95.0,0.10663914688682492,7.084507042253521,1.0,18.761904761904763
