,id,relationships,number of characters,betweenness centrality,eccentricity,closeness centrality,degree
count,81.0,81.0,81.0,81.0,81.0,81.0,81.0
mean,469.2345679012346,142.37037037037038,41.074074074074076,0.030712441505413923,3.164580669987568,0.5020277868420405,6.63243399155408
std,241.09641596283313,96.60259370799062,16.16692439657106,0.010364208731850033,0.7459864611597434,0.06483850075365294,2.575492785995765
min,28.0,34.0,15.0,0.011683262209577995,1.9705882352941178,0.27704155207406855,3.25
25%,247.0,82.0,32.0,0.024367224367224372,2.727272727272727,0.46244832117555046,5.0344827586206895
50%,456.0,116.0,38.0,0.028070175438596485,3.037037037037037,0.5054068656093085,6.0588235294117645
75%,659.0,161.0,49.0,0.03548085901027078,3.4571428571428573,0.5484898730672269,7.473684210526316
max,892.0,629.0,101.0,0.054901960784313725,6.2926829268292686,0.6548711711640213,16.55263157894737
